start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2024-09-02T13:47:12.750902,2024-09-02T13:47:12.790328,0.039426,1,10,1,1,1,1,1,1.0
2024-09-02T13:47:12.790404,2024-09-02T13:47:12.791203,0.000799,1,1,1,1,1,1,1,1.0
2024-09-02T13:47:12.791265,2024-09-02T13:47:12.791977,0.000712,1,0,1,1,1,1,1,1.0
2024-09-02T13:47:12.792036,2024-09-02T13:47:12.792733,0.000697,1,11,1,1,1,1,1,1.0
2024-09-02T13:47:12.792791,2024-09-02T13:47:12.793492,0.000701,1,4,1,1,1,1,1,1.0
2024-09-02T13:47:12.793554,2024-09-02T13:47:12.795371,0.001817,2,10 1,1,3,2,2,2,1.6875
2024-09-02T13:47:12.795481,2024-09-02T13:47:12.797212,0.001731,2,0 11,1,3,2,2,2,1.6875
2024-09-02T13:47:12.797364,2024-09-02T13:47:12.799075,0.001711,2,4 3,1,3,2,2,2,1.6875
2024-09-02T13:47:12.799222,2024-09-02T13:47:12.801160,0.001938,2,3 2,1,3,2,2,2,1.6875
2024-09-02T13:47:12.801270,2024-09-02T13:47:12.802974,0.001704,2,11 1,1,3,2,2,2,1.6875
2024-09-02T13:47:12.803119,2024-09-02T13:47:12.807078,0.003959,3,10 1 0,1,7,3,3,3,2.4125
2024-09-02T13:47:12.807352,2024-09-02T13:47:12.810624,0.003272,3,11 4 3,1,6,3,3,3,2.2096774193548385
2024-09-02T13:47:12.810893,2024-09-02T13:47:12.813765,0.002872,3,3 2 11,1,5,3,3,3,2.0384615384615383
2024-09-02T13:47:12.813996,2024-09-02T13:47:12.817211,0.003215,3,1 10 11,1,6,3,3,3,2.3142857142857145
2024-09-02T13:47:12.817446,2024-09-02T13:47:12.821151,0.003705,3,8 1 9,1,7,3,3,3,2.1944444444444446
2024-09-02T13:47:12.821459,2024-09-02T13:47:12.828091,0.006632,4,10 1 0 11,1,10,4,4,4,2.7636363636363637
2024-09-02T13:47:12.828533,2024-09-02T13:47:12.832173,0.00364,4,4 3 3 2,1,6,4,4,4,2.896551724137931
2024-09-02T13:47:12.832491,2024-09-02T13:47:12.838413,0.005922,4,11 1 10 11,1,11,4,4,4,2.9324324324324325
2024-09-02T13:47:12.838972,2024-09-02T13:47:12.845183,0.006211,4,8 1 9 6,1,11,4,4,4,2.808333333333333
2024-09-02T13:47:12.845664,2024-09-02T13:47:12.852200,0.006536,4,0 0 1 3,1,12,4,4,4,2.9782608695652173
2024-09-02T13:47:12.852726,2024-09-02T13:47:12.976953,0.124227,5,10 1 0 11 4,1,166,23,5,10,5.941292226959659
2024-09-02T13:47:12.983060,2024-09-02T13:47:13.250914,0.267854,5,3 3 2 11 1,1,319,5,5,12,7.312609910003103
2024-09-02T13:47:13.259905,2024-09-02T13:47:13.294478,0.034573,5,10 11 8 1 9,1,60,5,5,7,4.460280373831775
2024-09-02T13:47:13.297168,2024-09-02T13:47:13.304279,0.007111,5,6 1 3 3 8,1,12,5,5,5,3.720812182741117
2024-09-02T13:47:13.304951,2024-09-02T13:47:13.368350,0.063399,5,9 0 8 3 11,1,94,15,5,7,4.61609907120743
2024-09-02T13:47:13.372521,2024-09-02T13:47:16.739640,3.367119,6,10 1 0 11 4 3,1,3721,36,6,16,9.035592763702764
2024-09-02T13:47:16.841413,2024-09-02T13:47:17.103041,0.261628,6,3 2 11 1 10 11,1,337,6,6,11,7.878481128618541
2024-09-02T13:47:17.120019,2024-09-02T13:47:18.387255,1.267236,6,8 1 9 6 1 3,1,1380,6,6,13,8.733194679414549
2024-09-02T13:47:18.446264,2024-09-02T13:47:18.454346,0.008082,6,3 8 9 0 8 3,1,8,4,4,4,2.963636363636364
2024-09-02T13:47:18.454770,2024-09-02T13:47:18.802256,0.347486,6,11 10 11 8 6 3,1,551,6,6,10,6.385342151437441
2024-09-02T13:47:18.834082,2024-09-02T13:47:25.463503,6.629421,7,10 1 0 11 4 3 3,1,7465,31,7,15,9.039617429157424
2024-09-02T13:47:25.714516,2024-09-02T13:47:41.841557,16.127041,7,2 11 1 10 11 8 1,1,22084,7,7,18,8.876349071315419
2024-09-02T13:47:42.992698,2024-09-02T13:47:43.119921,0.127223,7,9 6 1 3 3 8 9,1,75,5,5,9,6.198509485094851
2024-09-02T13:47:43.122325,2024-09-02T13:47:44.059479,0.937154,7,0 8 3 11 10 11 8,1,1210,7,7,16,10.092699806518826
2024-09-02T13:47:44.170489,2024-09-02T13:49:28.039903,103.869414,7,6 3 7 9 4 0 2,1,76641,233,7,18,10.780857210176649
2024-09-02T13:49:29.844451,2024-09-02T13:49:32.839630,2.995179,8,10 1 0 11 4 3 3 2,1,3464,18,10,14,7.4667814037642595
2024-09-02T13:49:33.219597,2024-09-02T13:50:48.017304,74.797707,8,11 1 10 11 8 1 9 6,0,100001,-1,-1,20,10.56978170772266
2024-09-02T13:50:50.986026,2024-09-02T13:50:51.767012,0.780986,8,0 0 1 3 3 8 9 0,1,651,6,6,11,7.112041210560206
2024-09-02T13:50:51.797253,2024-09-02T13:50:59.616075,7.818822,8,8 3 11 10 11 8 6 3,1,9845,8,8,15,10.42796186986732
2024-09-02T13:51:01.135133,2024-09-02T13:53:15.235723,134.10059,8,7 9 4 0 2 11 6 5,0,100001,-1,-1,21,12.955923128952147
2024-09-02T13:53:18.632838,2024-09-02T13:53:24.459097,5.826259,9,10 1 0 11 4 3 3 2 11,1,5933,21,11,15,9.00092707154666
2024-09-02T13:53:25.526916,2024-09-02T13:55:07.325203,101.798287,9,1 10 11 8 1 9 6 1 3,0,100001,-1,-1,22,12.769252187579193
2024-09-02T13:55:14.619487,2024-09-02T13:55:19.746776,5.127289,9,3 8 9 0 8 3 11 10 11,1,4324,7,7,15,9.674852540165343
2024-09-02T13:55:19.977105,2024-09-02T13:56:49.486751,89.509646,9,8 6 3 7 9 4 0 2 11,0,100001,-1,-1,19,10.346072522639789
2024-09-02T13:56:51.142125,2024-09-02T13:57:14.521891,23.379766,9,6 5 4 2 3 5 1 1 6,1,26895,11,9,15,9.959394608509434
2024-09-02T13:57:17.841918,2024-09-02T13:58:59.377489,101.535571,10,10 1 0 11 4 3 3 2 11 1,0,100001,-1,-1,22,12.090589356823234
2024-09-02T13:59:07.023457,2024-09-02T14:00:23.716038,76.692581,10,10 11 8 1 9 6 1 3 3 8,0,100001,-1,-1,19,10.417620829676732
2024-09-02T14:00:26.061894,2024-09-02T14:02:18.068518,112.006624,10,9 0 8 3 11 10 11 8 6 3,0,100001,-1,-1,22,13.012212504879907
2024-09-02T14:02:29.649913,2024-09-02T14:04:06.526908,96.876995,10,7 9 4 0 2 11 6 5 4 2,0,100001,-1,-1,21,12.515652185002612
2024-09-02T14:04:11.087603,2024-09-02T14:05:50.778503,99.6909,10,3 5 1 1 6 1 5 5 9 4,0,100001,-1,-1,23,12.312350741260122
2024-09-02T14:05:54.381478,2024-09-02T14:07:40.612726,106.231248,11,10 1 0 11 4 3 3 2 11 1 10,0,100001,-1,-1,22,12.405229703645809
2024-09-02T14:07:45.958249,2024-09-02T14:09:11.448072,85.489823,11,11 8 1 9 6 1 3 3 8 9 0,0,100001,-1,-1,21,11.279575400462948
2024-09-02T14:09:14.551433,2024-09-02T14:10:42.277708,87.726275,11,8 3 11 10 11 8 6 3 7 9 4,0,100001,-1,-1,19,11.53970277476124
2024-09-02T14:10:47.206292,2024-09-02T14:12:08.464474,81.258182,11,0 2 11 6 5 4 2 3 5 1 1,0,100001,-1,-1,18,10.34485672593886
2024-09-02T14:12:11.641037,2024-09-02T14:13:38.081038,86.440001,11,6 1 5 5 9 4 0 11 7 8 1,0,100001,-1,-1,22,11.765657368083351
2024-09-02T14:13:41.665294,2024-09-02T14:15:32.587445,110.922151,12,10 1 0 11 4 3 3 2 11 1 10 11,0,100001,-1,-1,22,11.786291104184755
