start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2024-09-02T06:35:59.254034,2024-09-02T06:35:59.294719,0.040685,1,10,1,1,1,1,1,1.0
2024-09-02T06:35:59.294775,2024-09-02T06:35:59.295554,0.000779,1,1,1,1,1,1,1,1.0
2024-09-02T06:35:59.295601,2024-09-02T06:35:59.296264,0.000663,1,0,1,1,1,1,1,1.0
2024-09-02T06:35:59.296319,2024-09-02T06:35:59.296975,0.000656,1,11,1,1,1,1,1,1.0
2024-09-02T06:35:59.297020,2024-09-02T06:35:59.297668,0.000648,1,4,1,1,1,1,1,1.0
2024-09-02T06:35:59.297715,2024-09-02T06:35:59.298345,0.00063,1,3,1,1,1,1,1,1.0
2024-09-02T06:35:59.298390,2024-09-02T06:35:59.299052,0.000662,1,3,1,1,1,1,1,1.0
2024-09-02T06:35:59.299113,2024-09-02T06:35:59.299766,0.000653,1,2,1,1,1,1,1,1.0
2024-09-02T06:35:59.299817,2024-09-02T06:35:59.300461,0.000644,1,11,1,1,1,1,1,1.0
2024-09-02T06:35:59.300505,2024-09-02T06:35:59.301174,0.000669,1,1,1,1,1,1,1,1.0
2024-09-02T06:35:59.301222,2024-09-02T06:35:59.301848,0.000626,1,10,1,1,1,1,1,1.0
2024-09-02T06:35:59.301896,2024-09-02T06:35:59.302527,0.000631,1,11,1,1,1,1,1,1.0
2024-09-02T06:35:59.302575,2024-09-02T06:35:59.303200,0.000625,1,8,1,1,1,1,1,1.0
2024-09-02T06:35:59.303242,2024-09-02T06:35:59.303898,0.000656,1,1,1,1,1,1,1,1.0
2024-09-02T06:35:59.303943,2024-09-02T06:35:59.304584,0.000641,1,9,1,1,1,1,1,1.0
2024-09-02T06:35:59.304640,2024-09-02T06:35:59.305274,0.000634,1,6,1,1,1,1,1,1.0
2024-09-02T06:35:59.305316,2024-09-02T06:35:59.305948,0.000632,1,0,1,1,1,1,1,1.0
2024-09-02T06:35:59.305992,2024-09-02T06:35:59.306619,0.000627,1,0,1,1,1,1,1,1.0
2024-09-02T06:35:59.306663,2024-09-02T06:35:59.307339,0.000676,1,1,1,1,1,1,1,1.0
2024-09-02T06:35:59.307400,2024-09-02T06:35:59.308044,0.000644,1,3,1,1,1,1,1,1.0
2024-09-02T06:35:59.308093,2024-09-02T06:35:59.310272,0.002179,2,10 1,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.310359,2024-09-02T06:35:59.312422,0.002063,2,0 11,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.312533,2024-09-02T06:35:59.314565,0.002032,2,4 3,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.314678,2024-09-02T06:35:59.317209,0.002531,2,3 2,1,5,2,2,4,2.423076923076923
2024-09-02T06:35:59.317320,2024-09-02T06:35:59.319347,0.002027,2,11 1,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.319458,2024-09-02T06:35:59.321471,0.002013,2,10 11,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.321558,2024-09-02T06:35:59.323588,0.00203,2,8 1,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.323699,2024-09-02T06:35:59.325301,0.001602,2,9 6,1,3,4,2,2,1.6875
2024-09-02T06:35:59.325389,2024-09-02T06:35:59.326488,0.001099,2,0 0,1,2,2,2,2,1.5
2024-09-02T06:35:59.326570,2024-09-02T06:35:59.328626,0.002056,2,1 3,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.328739,2024-09-02T06:35:59.331720,0.002981,2,3 8,1,6,2,2,3,2.3142857142857145
2024-09-02T06:35:59.331826,2024-09-02T06:35:59.333829,0.002003,2,9 0,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.333920,2024-09-02T06:35:59.336880,0.00296,2,8 3,1,6,2,2,5,2.8548387096774195
2024-09-02T06:35:59.336979,2024-09-02T06:35:59.338957,0.001978,2,11 10,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.339053,2024-09-02T06:35:59.341053,0.002,2,11 8,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.341144,2024-09-02T06:35:59.343165,0.002021,2,6 3,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.343274,2024-09-02T06:35:59.345766,0.002492,2,7 9,1,5,2,2,4,2.423076923076923
2024-09-02T06:35:59.345881,2024-09-02T06:35:59.347928,0.002047,2,4 0,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.348041,2024-09-02T06:35:59.350083,0.002042,2,2 11,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.350190,2024-09-02T06:35:59.352214,0.002024,2,6 5,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.352323,2024-09-02T06:35:59.357292,0.004969,3,10 1 0,1,10,3,3,6,3.7384615384615385
2024-09-02T06:35:59.357480,2024-09-02T06:35:59.364901,0.007421,3,11 4 3,1,13,3,3,7,3.742424242424242
2024-09-02T06:35:59.365141,2024-09-02T06:35:59.367264,0.002123,3,3 2 11,1,4,3,3,3,2.0238095238095237
2024-09-02T06:35:59.367394,2024-09-02T06:35:59.369523,0.002129,3,1 10 11,1,4,5,3,3,2.261904761904762
2024-09-02T06:35:59.369653,2024-09-02T06:35:59.373546,0.003893,3,8 1 9,1,8,3,3,4,2.792682926829268
2024-09-02T06:35:59.373732,2024-09-02T06:35:59.378669,0.004937,3,6 1 3,1,10,3,3,6,3.343137254901961
2024-09-02T06:35:59.378849,2024-09-02T06:35:59.379504,0.000655,3,3 8 9,1,1,1,1,1,1.0
2024-09-02T06:35:59.379553,2024-09-02T06:35:59.384770,0.005217,3,0 8 3,1,10,3,3,7,4.029411764705882
2024-09-02T06:35:59.384951,2024-09-02T06:35:59.387483,0.002532,3,11 10 11,1,5,3,3,4,2.816666666666667
2024-09-02T06:35:59.387596,2024-09-02T06:35:59.392054,0.004458,3,8 6 3,1,9,3,3,5,3.0434782608695654
2024-09-02T06:35:59.392232,2024-09-02T06:35:59.404401,0.012169,3,7 9 4,1,24,3,3,7,4.741046831955923
2024-09-02T06:35:59.404741,2024-09-02T06:35:59.409785,0.005044,3,0 2 11,1,10,3,3,4,2.950980392156863
2024-09-02T06:35:59.410018,2024-09-02T06:35:59.414486,0.004468,3,6 5 4,1,9,3,3,5,3.0434782608695654
2024-09-02T06:35:59.414689,2024-09-02T06:35:59.417695,0.003006,3,2 3 5,1,6,3,3,4,2.532258064516129
2024-09-02T06:35:59.417862,2024-09-02T06:35:59.421300,0.003438,3,1 1 6,1,7,3,3,4,2.611111111111111
2024-09-02T06:35:59.421458,2024-09-02T06:35:59.424877,0.003419,3,1 5 5,1,7,3,3,4,2.611111111111111
2024-09-02T06:35:59.425020,2024-09-02T06:35:59.430122,0.005102,3,9 4 0,1,10,3,3,6,3.343137254901961
2024-09-02T06:35:59.430327,2024-09-02T06:35:59.450600,0.020273,3,11 7 8,1,38,3,3,8,5.195121951219512
2024-09-02T06:35:59.450954,2024-09-02T06:35:59.454439,0.003485,3,1 6 1,1,7,3,3,4,2.611111111111111
2024-09-02T06:35:59.454625,2024-09-02T06:35:59.457705,0.00308,3,8 4 9,1,6,3,3,4,2.7875
2024-09-02T06:35:59.457873,2024-09-02T06:35:59.502836,0.044963,4,10 1 0 11,1,85,4,4,10,5.804772234273319
2024-09-02T06:35:59.503537,2024-09-02T06:35:59.508734,0.005197,4,4 3 3 2,1,10,4,4,5,3.343137254901961
2024-09-02T06:35:59.508969,2024-09-02T06:35:59.514970,0.006001,4,11 1 10 11,1,12,4,4,6,3.5491803278688523
2024-09-02T06:35:59.515262,2024-09-02T06:35:59.519283,0.004021,4,8 1 9 6,1,8,4,4,4,2.792682926829268
2024-09-02T06:35:59.519508,2024-09-02T06:35:59.524533,0.005025,4,0 0 1 3,1,10,4,4,5,3.058333333333333
2024-09-02T06:35:59.524824,2024-09-02T06:35:59.526844,0.00202,4,3 8 9 0,1,4,2,2,3,2.0238095238095237
2024-09-02T06:35:59.526967,2024-09-02T06:35:59.544785,0.017818,4,8 3 11 10,1,34,4,4,10,5.626609442060086
2024-09-02T06:35:59.545279,2024-09-02T06:35:59.555726,0.010447,4,11 8 6 3,1,20,4,4,7,4.510714285714286
2024-09-02T06:35:59.556142,2024-09-02T06:35:59.904435,0.348293,4,7 9 4 0,1,402,4,4,15,8.187608426270137
2024-09-02T06:35:59.909025,2024-09-02T06:35:59.914304,0.005279,4,2 11 6 5,1,9,4,4,5,3.152173913043478
