start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2024-09-02T13:45:20.424817,2024-09-02T13:45:20.464470,0.039653,1,10,1,1,1,1,1,1.0
2024-09-02T13:45:20.464549,2024-09-02T13:45:20.465367,0.000818,1,1,1,1,1,1,1,1.0
2024-09-02T13:45:20.465440,2024-09-02T13:45:20.466145,0.000705,1,0,1,1,1,1,1,1.0
2024-09-02T13:45:20.466204,2024-09-02T13:45:20.466877,0.000673,1,11,1,1,1,1,1,1.0
2024-09-02T13:45:20.466934,2024-09-02T13:45:20.467665,0.000731,1,4,1,1,1,1,1,1.0
2024-09-02T13:45:20.467740,2024-09-02T13:45:20.469619,0.001879,2,10 1,1,3,2,2,2,1.6875
2024-09-02T13:45:20.469728,2024-09-02T13:45:20.471431,0.001703,2,0 11,1,3,2,2,2,1.6875
2024-09-02T13:45:20.471579,2024-09-02T13:45:20.473301,0.001722,2,4 3,1,3,2,2,2,1.6875
2024-09-02T13:45:20.473450,2024-09-02T13:45:20.475104,0.001654,2,3 2,1,3,2,2,2,1.6875
2024-09-02T13:45:20.475209,2024-09-02T13:45:20.476925,0.001716,2,11 1,1,3,2,2,2,1.6875
2024-09-02T13:45:20.477072,2024-09-02T13:45:20.479838,0.002766,3,10 1 0,1,5,3,3,3,2.230769230769231
2024-09-02T13:45:20.480066,2024-09-02T13:45:20.482792,0.002726,3,11 4 3,1,5,3,3,3,2.230769230769231
2024-09-02T13:45:20.482985,2024-09-02T13:45:20.485669,0.002684,3,3 2 11,1,5,3,3,3,2.230769230769231
2024-09-02T13:45:20.485864,2024-09-02T13:45:20.489622,0.003758,3,1 10 11,1,7,3,3,3,2.4125
2024-09-02T13:45:20.489904,2024-09-02T13:45:20.492659,0.002755,3,8 1 9,1,5,3,3,3,2.230769230769231
2024-09-02T13:45:20.492887,2024-09-02T13:45:20.496737,0.00385,4,10 1 0 11,1,7,4,4,4,2.7625
2024-09-02T13:45:20.497053,2024-09-02T13:45:20.502285,0.005232,4,4 3 3 2,1,8,4,4,4,3.080357142857143
2024-09-02T13:45:20.502662,2024-09-02T13:45:20.506690,0.004028,4,11 1 10 11,1,7,4,4,4,2.611111111111111
2024-09-02T13:45:20.507003,2024-09-02T13:45:20.510806,0.003803,4,8 1 9 6,1,7,4,4,4,2.75
2024-09-02T13:45:20.511087,2024-09-02T13:45:20.515420,0.004333,4,0 0 1 3,1,8,4,4,4,2.688888888888889
2024-09-02T13:45:20.515781,2024-09-02T13:45:20.520894,0.005113,5,10 1 0 11 4,1,9,5,5,5,3.5642857142857145
2024-09-02T13:45:20.521420,2024-09-02T13:45:20.526395,0.004975,5,3 3 2 11 1,1,9,5,5,5,3.260869565217391
2024-09-02T13:45:20.526792,2024-09-02T13:45:20.531737,0.004945,5,10 11 8 1 9,1,9,5,5,5,3.260869565217391
2024-09-02T13:45:20.532135,2024-09-02T13:45:20.539388,0.007253,5,6 1 3 3 8,1,13,5,5,5,3.4345794392523366
2024-09-02T13:45:20.540203,2024-09-02T13:45:20.545137,0.004934,5,9 0 8 3 11,1,9,5,5,5,3.260869565217391
2024-09-02T13:45:20.545498,2024-09-02T13:45:20.569259,0.023761,6,10 1 0 11 4 3,1,41,6,6,11,7.092417061611374
2024-09-02T13:45:20.570845,2024-09-02T13:45:20.577692,0.006847,6,3 2 11 1 10 11,1,12,6,6,6,4.073684210526316
2024-09-02T13:45:20.578395,2024-09-02T13:45:20.585022,0.006627,6,8 1 9 6 1 3,1,12,6,6,6,4.05625
2024-09-02T13:45:20.585595,2024-09-02T13:45:20.589369,0.003774,6,3 8 9 0 8 3,1,7,4,4,4,2.75
2024-09-02T13:45:20.589663,2024-09-02T13:45:20.595741,0.006078,6,11 10 11 8 6 3,1,11,6,6,6,3.767857142857143
2024-09-02T13:45:20.596228,2024-09-02T13:45:23.931325,3.335097,7,10 1 0 11 4 3 3,1,2501,7,7,19,12.922517368205966
2024-09-02T13:45:23.988111,2024-09-02T13:45:24.007470,0.019359,7,2 11 1 10 11 8 1,1,20,7,7,7,4.504
2024-09-02T13:45:24.008535,2024-09-02T13:45:24.014110,0.005575,7,9 6 1 3 3 8 9,1,9,5,5,5,3.152173913043478
2024-09-02T13:45:24.014485,2024-09-02T13:45:24.067082,0.052597,7,0 8 3 11 10 11 8,1,83,7,7,10,5.777388255915863
2024-09-02T13:45:24.070741,2024-09-02T13:45:24.085794,0.015053,7,6 3 7 9 4 0 2,1,24,7,7,10,5.8884297520661155
2024-09-02T13:45:24.086553,2024-09-02T13:45:24.641622,0.555069,8,10 1 0 11 4 3 3 2,1,627,8,8,14,10.282386088221037
2024-09-02T13:45:24.673103,2024-09-02T13:45:24.692246,0.019143,8,11 1 10 11 8 1 9 6,1,31,8,8,9,5.473529411764706
2024-09-02T13:45:24.693573,2024-09-02T13:45:24.701497,0.007924,8,0 0 1 3 3 8 9 0,1,14,6,6,6,4.226666666666667
2024-09-02T13:45:24.702030,2024-09-02T13:45:24.814935,0.112905,8,8 3 11 10 11 8 6 3,1,162,8,8,13,7.491710473109584
2024-09-02T13:45:24.821845,2024-09-02T14:00:29.132445,904.3106,8,7 9 4 0 2 11 6 5,0,100001,-1,-1,34,19.764437536002674
2024-09-02T14:00:39.066406,2024-09-02T14:00:40.425916,1.35951,9,10 1 0 11 4 3 3 2 11,1,779,11,9,15,11.3711047646591
2024-09-02T14:00:40.485528,2024-09-02T14:03:10.863196,150.377668,9,1 10 11 8 1 9 6 1 3,1,43919,9,9,29,18.01218579032887
